Country,Year,Gross demand,Gross production,Final consumption
Austria,2018,69191.927,68617.889,63444.955
Austria,2017,69028.903,71324.414,63082.724
Austria,2016,67866.0,68308.0,62137.0
Austria,2015,67020.0,65299.0,61152.0
Austria,2014,65978.0,65436.0,60201.0
Austria,2013,67049.0,68351.0,61152.0
Austria,2012,66690.0,72602.0,60827.0
Austria,2011,65703.0,65813.0,59894.0
Austria,2010,65523.0,71128.0,59933.0
Austria,2009,62783.0,69090.0,57195.0
Austria,2008,65111.0,66853.0,59417.0
Austria,2007,64762.0,65087.0,59125.0
Austria,2006,64144.0,64702.0,58635.0
Austria,2005,62948.0,66834.0,57501.0
Austria,2004,61320.0,64152.0,56777.0
Austria,2003,60058.0,60174.0,55617.0
Austria,2002,58074.0,62499.0,53854.0
Austria,2001,58338.0,62449.0,53614.0
Austria,2000,55750.0,61257.0,51541.0
Austria,1999,55167.0,60944.0,50863.0
Austria,1998,54039.0,57001.0,49710.0
Austria,1997,53069.0,56704.0,48904.0
Austria,1996,52515.0,54880.0,48311.0
Austria,1995,50979.0,56225.0,46712.0
Austria,1994,49596.0,53132.0,45605.0
Austria,1993,49073.0,52421.0,44958.0
Austria,1992,48197.0,51190.0,44338.0
Austria,1991,48793.0,51483.0,44818.0
Austria,1990,46489.0,50294.0,42767.0
Azerbaijan,2021,25589.8,27888.801,20386.2
Azerbaijan,2020,24062.4,25839.103,19019.2
Azerbaijan,2019,23903.2,26072.903,18666.2
Azerbaijan,2018,23046.5,25229.2,17811.5
Azerbaijan,2017,22268.9,24320.9,17085.0
Azerbaijan,2016,23053.7,24952.9,17618.0
Azerbaijan,2015,23549.3,24688.42,17619.1
Azerbaijan,2014,23365.0,24728.0,16907.0
Azerbaijan,2013,22025.0,23354.0,15982.0
Azerbaijan,2012,21472.0,22988.0,15394.0
Azerbaijan,2011,18670.0,20294.0,13267.0
Azerbaijan,2010,17373.0,18709.0,12235.0
Azerbaijan,2009,17638.0,18867.0,12259.0
Azerbaijan,2008,19923.0,21645.0,15566.0
Azerbaijan,2007,20430.0,21847.0,15844.0
Azerbaijan,2006,24388.0,24543.0,19638.0
Azerbaijan,2005,23070.0,22872.0,18028.0
Azerbaijan,2004,22116.0,21743.0,16969.0
Azerbaijan,2003,21867.0,21286.0,16730.0
Azerbaijan,2002,19195.0,18701.0,14488.0
Azerbaijan,2001,18597.0,18969.0,15069.0
Azerbaijan,2000,18173.0,18699.0,15403.0
Azerbaijan,1999,17899.0,18177.0,14205.0
Azerbaijan,1998,17262.0,17998.0,13480.0
Azerbaijan,1997,16250.0,16836.0,11274.0
Azerbaijan,1996,16486.0,17088.0,13765.0
Azerbaijan,1995,16340.0,17045.0,13563.0
Azerbaijan,1994,16671.0,17583.0,14354.0
Azerbaijan,1993,18100.0,19100.0,13300.0
Azerbaijan,1992,18185.0,19763.0,11286.0
Bahrain,2021,33904.5,33886.512,32529.294
Bahrain,2020,33579.0,33374.0,31820.0
Bahrain,2019,33658.0,33453.0,32783.0
Bahrain,2018,29782.0,29516.0,28987.0
Bahrain,2017,29156.0,29193.0,27765.0
Bahrain,2016,28426.0,28479.0,27749.0
Bahrain,2015,28432.0,28462.0,27815.0
Bahrain,2014,27174.0,27204.0,26186.0
Bahrain,2013,25881.0,25867.0,24432.0
Bahrain,2012,24573.0,24728.0,23315.0
Bahrain,2011,24458.0,24338.0,22775.0
Bahrain,2010,23992.0,23819.0,22193.0
Bahrain,2009,22723.0,22555.0,20510.0
Bahrain,2008,22544.0,22819.0,20859.0
Bahrain,2007,21740.0,21727.0,20439.0
Bahrain,2006,21045.0,21042.0,19876.0
Bahrain,2005,19373.0,19373.0,18404.0
Bahrain,2004,16150.0,16150.0,15403.0
Bahrain,2003,15702.0,15702.0,15105.0
Bahrain,2002,15258.0,15258.0,14434.0
Bahrain,2001,14618.0,14618.0,13790.0
Bahrain,2000,13859.0,13859.0,13078.0
Bahrain,1999,13530.0,13530.0,13042.0
Bahrain,1998,13502.0,13502.0,12956.0
Bahrain,1997,12641.0,12641.0,12296.0
Bahrain,1996,12235.0,12235.0,11876.0
Bahrain,1995,11647.0,11647.0,11455.0
Bahrain,1994,11418.0,11418.0,10956.0
Bahrain,1993,11806.0,11806.0,11341.0
Bahrain,1992,9883.0,9883.0,9315.0
Bahrain,1991,7403.0,7403.0,6936.0
Bahrain,1990,7989.0,7989.0,7537.0
Barbados,2012,1094.39,1131.52,1051.05
Barbados,2011,1010.9,1052.0,942.6
Barbados,2010,1010.74,1029.67,960.11
Barbados,2009,997.69,1069.34,952.27
Barbados,2008,979.15,1053.66,935.98
Barbados,2007,1015.09,1049.23,940.793888888889
Barbados,2006,914.21,1020.36,851.16
Barbados,2005,896.72,992.79,834.88
Barbados,2004,863.06,895.29,803.54
Barbados,2003,839.55,870.9,781.65
Barbados,2002,829.0,859.0,765.0
Barbados,2001,797.0,827.0,736.0
Barbados,2000,758.0,787.0,704.0
Barbados,1999,772.0,802.0,716.0
Barbados,1998,715.0,747.0,658.0
Barbados,1997,618.0,678.0,601.0
Barbados,1996,619.0,650.0,591.0
Barbados,1995,585.0,616.0,566.0
Barbados,1994,540.0,577.0,527.0
Barbados,1993,517.0,551.0,512.0
Barbados,1992,496.0,541.0,498.0
Barbados,1991,500.0,531.0,487.0
Barbados,1990,440.0,468.0,455.0
Belarus,2021,38253.926,41239.998,33007.926
Belarus,2020,35816.0,38548.0,30856.0
Belarus,2019,35909.0,40465.0,30930.0
Belarus,2018,35775.0,38986.0,30704.0
Belarus,2017,34994.0,34515.0,29952.0
Belarus,2016,34505.0,33566.0,29376.0
Belarus,2015,34604.0,34082.0,29288.0
Belarus,2014,35836.0,34735.0,30220.0
Belarus,2013,35688.0,31507.0,29935.0
Belarus,2012,36197.0,30799.0,30378.0
Belarus,2011,35565.0,32200.0,29896.0
Belarus,2010,35331.0,34895.0,29382.0
Belarus,2009,32717.0,30376.0,27691.0
Belarus,2008,34619.0,35048.0,29420.0
Belarus,2007,33923.0,31829.0,28699.0
Belarus,2006,33796.0,31811.0,28460.0
Belarus,2005,32712.0,30961.0,27682.0
Belarus,2004,32141.0,31210.0,27235.0
Belarus,2003,31311.0,26627.0,26708.0
Belarus,2002,30865.0,26456.0,26367.0
Belarus,2001,31216.0,25063.0,26700.0
Belarus,2000,31200.0,26101.0,26778.0
Belarus,1999,31563.0,26516.0,27133.0
Belarus,1998,32095.0,23492.0,27413.0
Belarus,1997,31479.0,26057.0,26764.0
Belarus,1996,30101.0,23728.0,25499.0
Belarus,1995,29847.0,24918.0,25312.0
Belarus,1994,32702.0,31397.0,27893.0
Belarus,1993,36602.0,33369.0,31457.0
Belarus,1992,41044.0,37595.0,35531.0
Belgium,2021,87518.6,100465.4,81362.2
Belgium,2020,84395.1,89455.4,78883.0
Belgium,2019,86923.2,93645.8,81704.6
Belgium,2018,88050.2,75039.7,82757.8
Belgium,2017,87661.5,86618.8,82111.5
Belgium,2016,87111.0,85610.0,82100.0
Belgium,2015,86917.0,69715.0,81502.0
Belgium,2014,85873.0,72545.0,81054.0
Belgium,2013,88189.0,83504.0,83005.0
Belgium,2012,88146.0,83044.0,83074.0
Belgium,2011,88029.0,90590.0,83320.0
Belgium,2010,89773.0,94582.0,85427.0
Belgium,2009,83944.0,91184.0,79355.0
Belgium,2008,89907.0,84401.0,84701.0
Belgium,2007,89648.0,88104.0,84556.0
Belgium,2006,89627.0,84588.0,84454.0
Belgium,2005,86839.0,85677.0,81865.0
Belgium,2004,86785.0,84211.0,81348.0
Belgium,2003,85822.0,84630.0,79732.0
Belgium,2002,84210.0,82069.0,78447.0
Belgium,2001,83702.0,79821.0,78142.0
Belgium,2000,82955.0,84012.0,77542.0
Belgium,1999,80176.0,84514.0,74508.0
Belgium,1998,79366.0,83183.0,73960.0
Belgium,1997,77012.0,78833.0,71829.0
Belgium,1996,75239.0,76099.0,69876.0
Belgium,1995,73502.0,74408.0,68448.0
Belgium,1994,71392.0,72179.0,66447.0
Belgium,1993,68317.0,70834.0,63300.0
Belgium,1992,67408.0,72225.0,62583.0
Belgium,1991,65288.0,71936.0,60516.0
Belgium,1990,62712.0,70923.0,57984.0
Benin,2021,1818.848,1126.915,1408.533
Benin,2020,1561.13,989.04,1204.647
Benin,2019,1501.142,528.617,1255.976
Benin,2018,1397.116,202.116,1182.649
Benin,2017,1339.02,331.12,1139.357
Benin,2016,1268.55,276.0,1071.0
Benin,2015,1377.861111,330.34,1099.0
Benin,2014,1422.0,348.0,974.0
Benin,2013,1215.0,130.0,931.0
Benin,2012,1122.0,48.0,881.0
Benin,2011,1106.0,101.0,850.0
Benin,2010,1050.0,115.0,854.0
Benin,2009,994.0,128.0,786.0
Benin,2008,891.0,229.0,748.0
Benin,2007,799.0,220.0,672.0
Benin,2006,743.0,154.0,614.0
Benin,2005,702.0,107.0,589.0
Benin,2004,659.0,81.0,545.0
Benin,2003,593.0,80.0,486.0
Benin,2002,596.0,63.0,498.0
Benin,2001,522.0,66.0,435.0
Benin,2000,458.0,84.0,399.0
Benin,1999,399.0,72.0,346.0
Benin,1998,334.0,79.0,290.0
Bolivia (Plur. State of),2021,10308.321,10833.66,9011.412
Bolivia (Plur. State of),2020,9519.361,9977.22,8365.473
Bolivia (Plur. State of),2019,9783.262,10171.9,8679.984
Bolivia (Plur. State of),2018,9469.326,9854.97,8450.481
Bolivia (Plur. State of),2017,9120.403,9616.68,8374.335
Bolivia (Plur. State of),2016,8935.0,9307.0,8202.0
Bolivia (Plur. State of),2015,8801.0,9032.0,7875.0
Bolivia (Plur. State of),2014,8099.0,8304.0,7392.0
Bolivia (Plur. State of),2013,7648.0,7839.0,6963.0
Bolivia (Plur. State of),2012,7273.0,7437.0,6614.0
Bolivia (Plur. State of),2011,6975.0,7118.0,6235.0
Bolivia (Plur. State of),2010,6546.0,6672.0,6018.0
Bolivia (Plur. State of),2009,6125.0,6230.0,5623.0
Bolivia (Plur. State of),2008,5849.0,5943.0,5378.0
Bolivia (Plur. State of),2007,5357.0,5450.0,4855.0
Bolivia (Plur. State of),2006,4934.0,5017.0,4488.0
